V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-32.703221,-6.133741,-4.134112,-32.135445,-1.67148,-7.165712,9.472044,1.493128,-8.316995,29.650568,-4.758166,-3.075963,-2.239406,6.273487,3.907899,-2.574247,4.497929,-16.319283,-1.50907,-1.3851,-4.780897,-14.059154,-15.368641,-1.238291,-0.633551,-5.856749,-6.27063,-1.084264,-4.179067,-8.893884,-1.745383,-27.728061,4.512926,-5.673124,13.141709,2.566459,-14.757764,-3.282565,7.684614,-1.241295,3.515955,5.786968,7.503629,-0.0430060000000001,0.42348,2.980005,-14.898538,2.563372,-7.04608,4.98314,-14.59682,-13.367183,12.389153,-19.438346,16.404536,-21.142054,1.166409,1.263898,-4.934025,-27.930146,7.319525,32.744719,-2.481133,12.067213,15.523491,10.978049,2.874414,15.649936,18.077845,-6.309312,-13.449617,1.740858,-2.688786,2.774081,-2.88741,-7.311389,13.76296,-8.841686,8.473225,-13.508278,-7.976602,-5.199143,12.154468,6.213921,13.154546,-13.62462,-18.521273,-1.314096,-14.658335,8.405379,12.555205,-16.566364,-6.988145,7.613675,11.940271,2.902933,-10.951951,-15.490265,-14.527886,31.881582,mitochondrial
-35.662953,-4.625026,-3.081194,-30.483309,-2.587219,-6.189777,12.798631,-7.776268,-7.315277,29.2181,-8.235272,1.55314,-0.056147,7.995289,0.87907,-3.286247,12.784268,-12.839141,0.782798,-8.846649,-3.034758,-16.921876,-17.210302,-0.756425,-4.355048,-7.110117,-7.16995,-3.071844,-8.778233,-6.305826,1.742718,-23.650925,3.515128,-7.423349,8.996891,6.696727,-9.658151,0.525836,8.512191,-0.591338,5.319892,12.105482,9.299499,0.869738,0.973393,0.56138,-9.294487,1.742528,-8.759825,13.291632,-11.833546,-14.607003,14.015449,-21.274313,10.133456,-15.34293,2.797516,-0.814039,-6.37584,-28.394272,9.001334,28.905884,2.743073,4.766813,17.075218,10.014851,-2.12771,14.557536,14.483068,-9.752979,-6.355291,-2.422891,-1.784755,8.144636,-2.507142,-14.981114,10.216968,-12.096494,2.245117,-10.935558,-13.831238,-5.42978,11.495749,0.329208,13.968223,-16.400565,-13.689541,-9.800185,-14.750632,9.055496,5.917107,-8.021689,-7.138845,1.565759,13.570785,4.956297,-4.872614,-26.636208,-9.844499,28.592203,mitochondrial
-7.586715,-2.415691,-1.575253,-9.609046,-0.152232,-1.215372,3.042808,-3.937946,-3.229288,6.146992,-1.631199,0.411659,0.033844,0.103333,1.340731,-0.954795,-0.520809,-3.448607,0.550136,-1.907917,-0.138347,-2.666681,-8.284592,-0.873162,-0.498351,3.383174,1.24254,-3.638436,-0.533058,-3.253973,-1.733068,-3.363492,2.359897,-1.825643,-0.200343,4.475872,-5.873515,0.045357,0.733076,-1.569502,2.392999,2.122335,-1.801182,0.429529,-5.031163,0.409428,-1.625825,-0.0677509999999999,2.580221,3.949251,-3.18235,-1.515851,6.007813,-3.251844,3.025057,-5.246033,3.700023,-0.221864,1.66081,-6.237553,-0.634207,3.583987,-0.19588,0.827438,9.519417,2.623597,0.140582,6.258831,2.232844,-3.270691,0.610612,-2.63477,-0.0910929999999999,1.546765,3.87779,-4.80243,0.548798,-0.593255,2.210687,-3.405167,-5.361392,-2.550691,-1.134864,0.88818,7.60709,-2.228727,-2.328113,-4.076034,-4.70396,3.611947,0.383711,-4.593898,-3.477243,1.270712,1.861682,1.156023,-1.139399,-8.425112,1.481372,11.170481,mitochondrial
-43.310337,-5.487916,-1.661898,-42.289489,-0.0889749999999998,-6.526993,10.307914,-6.138745,-14.64424,51.547804,-5.36116,-11.253332,-6.648707,7.771475,5.143945,-3.058504,7.879648,-22.519323,3.481612,-6.475666,-10.276441,-29.452629,-30.073685,8.021568,-5.145832,-6.147242,-13.369348,3.311274,-4.479936,-7.897095,1.576601,-40.923179,7.77811,-5.760587,15.188732,9.04123,-24.892461,2.919438,16.332167,0.871262,13.430147,14.303628,11.409618,-3.506819,2.481316,1.273037,-27.43839,-1.525268,-27.133718,2.897023,-20.89174,-20.435648,16.097936,-34.714669,22.752067,-29.570117,4.644233,0.732393,-10.095256,-41.809996,16.795012,47.806446,-5.107026,14.692876,22.445954,14.551461,-2.291417,22.483911,18.9693,-12.211707,-25.817817,-6.276707,7.151096,6.4434,-11.132467,-22.918064,15.04996,-17.631299,8.239563,-7.519869,-10.095688,-0.321445,12.817177,5.142149,16.710232,-17.848736,-29.378706,-3.902887,-12.279683,9.361453,10.323263,-23.983847,-9.854662,12.720029,22.552318,13.972533,-12.206706,-33.821203,-22.322145,53.866464,mitochondrial
-8.04977,0.526927,-1.297671,-9.642131,-0.787532,-3.171717,4.66968,-4.50015,-3.971688,6.468143,-0.092245,-0.091092,2.181221,3.560919,-0.569981,1.446954,2.249644,-4.929009,0.554366,-2.903369,0.363787,-3.536396,-3.703536,-0.0964979999999999,-1.987463,2.128769,-0.277031,-3.012886,0.553082,-1.003995,-0.836123,-5.596156,1.911837,1.195948,3.465485,0.319718,-2.767573,-0.510947,3.053389,-2.614725,3.021205,2.708319,0.290429,-0.887318,-4.950774,-0.778477,-0.596853,-3.258545,1.439194,4.063997,-2.128567,-2.895413,4.307212,-5.719854,6.340005,-6.56172,1.240541,-0.774259,1.393456,-9.998504,0.872712,5.897705,2.612751,0.503685,8.077044,2.119644,-2.308564,5.511535,3.460913,-3.878705,-0.944351,0.904103,1.010017,0.615472,2.389524,-4.517316,2.559975,-1.826719,3.913115,-1.803507,-7.806024,-1.712916,-1.38207,0.618336,4.901361,1.605092,-4.827852,-3.08863,-3.522968,4.703797,1.067837,-0.948809,-3.956816,0.615571,2.779267,0.633468,-1.59862,-7.284058,1.944272,10.11161,mitochondrial
-74.625775,-14.299741,11.091182,-53.134237,-15.446151,-0.452952,24.906612,0.0970169999999998,0.421966,64.133522,-5.814427,-11.367567,-1.190865,15.928073,-1.934149,-2.321017,16.278359,-40.438734,-1.944618,-9.089115,-12.851156,-36.571269,-34.46972,-3.651066,-17.185726,-6.699062,-1.6204,-4.279136,-13.333539,-26.980637,2.256445,-49.863863,-4.363157,-13.47731,7.682984,15.849488,-15.204727,-5.760425,23.69272,8.659255,8.108397,13.871532,17.404114,-3.407951,-3.575082,1.814738,-17.821861,-1.453422,-20.635907,26.630238,-8.785983,-20.465275,27.807697,-42.485153,30.242543,-41.678212,1.863886,12.40475,-13.315638,-53.375204,19.56152,70.185334,-7.874997,36.190432,23.336026,28.540228,8.61468,34.090015,32.636706,-12.700777,-16.149168,4.991075,10.251717,6.558713,3.638109,-18.210636,22.94689,-10.642027,8.524953,-22.54828,-27.668236,-3.063712,9.955873,-0.619804,38.226084,-24.831908,-35.063884,-14.986577,-34.030298,24.232926,25.028935,-33.295775,-11.198867,13.478891,34.401149,5.065916,-16.075724,-29.589208,-17.530418,50.842103,mitochondrial
-46.060188,0.190717,0.449131,-40.007369,-4.262834,1.519554,14.362786,-4.283388,-5.87979,54.986339,-3.578118,-13.262608,0.580594,9.854926,0.841466,-3.074161,5.333611,-21.12488,4.306955,-4.542949,-4.226553,-27.560636,-13.943845,8.912602,-5.582816,-9.781282,-12.447786,-0.353694,-5.415758,-7.710183,1.447938,-42.308856,5.356819,-2.495242,16.488196,6.707815,-23.247713,-6.029282,22.26521,-8.488845,12.919592,17.777203,17.142243,-9.825936,-4.103518,2.968499,-24.89348,-3.696388,-20.110747,7.492574,-15.859447,-29.114634,12.302158,-39.728258,14.301248,-30.996847,-1.669575,-0.703797,-11.348859,-29.025821,15.837418,51.324049,-4.229082,15.610412,16.812308,17.693855,0.139167,16.226672,20.134814,-6.157807,-17.991193,-4.433143,-2.007393,6.640359,-19.297671,-18.210904,15.989381,-18.78132,9.626566,-13.302728,-11.511553,0.85764,23.28959,5.561784,16.453141,-19.656415,-24.670216,5.482679,-10.650238,7.497298,9.171438,-26.286888,-21.24443,7.128491,23.052112,14.583213,-8.914145,-31.589698,-19.957085,51.080499,mitochondrial
-8.202117,3.508455,-0.153028,-7.651856,-1.694528,-2.208028,1.052257,-1.882495,-1.653265,8.944546,-0.0617129999999999,-5.373665,4.412947,3.401839,-0.165266,-6.288959,1.509164,-8.149746,1.154169,5.698984,0.16712,-8.481387,-3.977007,-2.757663,-3.071894,5.352624,1.197763,-3.722343,-1.166286,0.166444,4.899219,-8.746765,2.584326,2.91251,5.441305,-3.828911,-1.68375,1.023012,1.214192,4.926263,4.990386,5.130604,2.804237,0.818967,-3.489879,-2.355942,-3.682111,-0.0852090000000001,-2.666555,2.521921,-0.401663,-4.476576,1.514804,-4.371929,1.458799,-6.774826,-0.499743,2.260757,-2.587059,-10.715639,-2.368486,13.116625,3.582523,3.552635,9.084689,4.50728,-0.800088,1.264548,0.947922,-1.66623,-3.121613,-1.740591,0.00884900000000004,2.995279,6.175087,-4.626574,-0.490086,-1.140281,1.011369,-0.324797,-6.702724,-2.671603,0.521526,-3.247875,4.092283,-0.137104,-8.075556,2.236008,-3.909651,11.201366,4.704052,-1.497278,-8.140537,-0.471163,4.818564,-1.646594,-3.461347,-10.032462,0.72248,6.21832,mitochondrial
-58.711406,-1.386831,3.064665,-51.467214,6.925346,-5.664405,18.407967,-17.463814,-13.530751,53.706297,-2.38389,-7.164847,-9.681147,13.623255,2.627345,4.212797,12.203686,-28.127725,-10.623148,-18.285711,-2.704754,-29.566809,-27.215827,-0.693294,-10.029751,6.51792,-10.715014,-8.19406,-4.67162,-19.031714,-6.470941,-38.42097,10.660463,-6.48319,10.137694,14.471497,-9.079719,-1.126876,10.243914,-1.699004,9.393759,8.763259,16.285736,-3.56692,-11.398911,0.489804,-19.339821,-8.009074,-9.6013,26.365434,-14.241104,-19.474466,30.28485,-36.90554,23.51232,-35.989858,0.962442,4.202774,-10.407378,-58.184119,7.100463,41.912313,9.050114,10.348836,33.407626,26.525181,-5.304187,40.677358,18.533728,-21.249994,-6.754581,6.197244,-2.338958,11.617919,1.894457,-17.375601,26.314267,-0.982838,13.720972,-20.15715,-23.972097,-0.707005,2.204792,-1.684381,35.269162,-18.896982,-27.485014,-12.996574,-38.178672,15.187205,5.929324,-30.308428,-6.778215,4.300882,25.187676,-0.51415,-10.924312,-39.336973,-17.655845,44.333077,mitochondrial
-40.754269,-1.248311,0.68988,-42.321921,0.643103,-4.446542,18.783193,-13.112608,-6.315948,37.291336,-1.988688,4.084451,-7.859484,9.653193,-7.480173,9.326183,13.941276,-24.857056,1.18049,-12.178774,-2.99337,-16.800202,-19.409324,-3.582054,-7.238252,-1.265501,-8.010871,-7.412661,3.503327,-13.819443,-6.360421,-19.35108,9.130727,-4.996534,13.89137,8.495695,-12.135357,-4.310389,6.114073,-3.947205,4.023151,5.389428,9.045332,-7.335769,-6.998829,2.892294,-9.669737,-4.460264,-2.251757,13.150229,-11.272905,-9.20185,25.961379,-35.751034,12.945352,-29.472307,4.295503,-1.856415,-12.335643,-36.007352,-5.153754,26.966,10.475459,1.379552,24.660787,6.960207,1.007097,20.440551,17.183067,-22.922154,-1.58849,0.317863,-0.943763,-0.824008,4.361517,-16.771849,20.407362,-3.850067,8.698278,-14.429841,-21.771728,1.801326,7.363441,8.198419,20.990686,-17.140507,-15.296651,-13.572474,-22.212654,11.793175,1.133254,-9.486714,-6.430534,-4.743869,15.549252,-7.143587,-10.461661,-21.374501,-4.294341,34.859201,mitochondrial
